Epoch [3/5], Step [240/500], Loss: 2.3027
Epoch [3/5], Step [250/500], Loss: 2.3019
Epoch [3/5], Step [260/500], Loss: 2.3044
Epoch [3/5], Step [270/500], Loss: 2.3019
Epoch [3/5], Step [280/500], Loss: 2.3024
Epoch [3/5], Step [290/500], Loss: 2.3032
Epoch [3/5], Step [300/500], Loss: 2.3019
Epoch [3/5], Step [310/500], Loss: 2.3028
Epoch [3/5], Step [320/500], Loss: 2.3029
Epoch [3/5], Step [330/500], Loss: 2.2977
Epoch [3/5], Step [340/500], Loss: 2.3028
Epoch [3/5], Step [350/500], Loss: 2.3026
Epoch [3/5], Step [360/500], Loss: 2.3027
Epoch [3/5], Step [370/500], Loss: 2.3024
Epoch [3/5], Step [380/500], Loss: 2.3027
Epoch [3/5], Step [390/500], Loss: 2.3018
Epoch [3/5], Step [400/500], Loss: 2.3034
Epoch [3/5], Step [410/500], Loss: 2.3027
Epoch [3/5], Step [420/500], Loss: 2.3029
Epoch [3/5], Step [430/500], Loss: 2.3036
Epoch [3/5], Step [440/500], Loss: 2.3031
Epoch [3/5], Step [450/500], Loss: 2.2959
Epoch [3/5], Step [460/500], Loss: 2.2910
Epoch [3/5], Step [470/500], Loss: 2.3022
Epoch [3/5], Step [480/500], Loss: 2.3029
Epoch [3/5], Step [490/500], Loss: 2.3026
Epoch [3/5], Step [500/500], Loss: 2.3030
Epoch [4/5], Step [10/500], Loss: 2.3036
Epoch [4/5], Step [20/500], Loss: 2.3022
Epoch [4/5], Step [30/500], Loss: 2.3032
Epoch [4/5], Step [40/500], Loss: 2.2950
Epoch [4/5], Step [50/500], Loss: 2.3026
Epoch [4/5], Step [60/500], Loss: 2.3027
Epoch [4/5], Step [70/500], Loss: 2.3019
Epoch [4/5], Step [80/500], Loss: 2.3023
Epoch [4/5], Step [90/500], Loss: 2.2931
Epoch [4/5], Step [100/500], Loss: 2.2930
Epoch [4/5], Step [110/500], Loss: 2.2935
Epoch [4/5], Step [120/500], Loss: 2.3021
Epoch [4/5], Step [130/500], Loss: 2.3029
Epoch [4/5], Step [140/500], Loss: 2.2767
Epoch [4/5], Step [150/500], Loss: 2.2741
Epoch [4/5], Step [160/500], Loss: 2.3028
Epoch [4/5], Step [170/500], Loss: 2.2766
Epoch [4/5], Step [180/500], Loss: 2.2892
Epoch [4/5], Step [190/500], Loss: 2.3046
Epoch [4/5], Step [200/500], Loss: 2.3022
Epoch [4/5], Step [210/500], Loss: 2.2726
Epoch [4/5], Step [220/500], Loss: 2.3015
Epoch [4/5], Step [230/500], Loss: 2.3038
Epoch [4/5], Step [240/500], Loss: 2.3031
Epoch [4/5], Step [250/500], Loss: 2.3038
Epoch [4/5], Step [260/500], Loss: 2.3028
Epoch [4/5], Step [270/500], Loss: 2.3022
Epoch [4/5], Step [280/500], Loss: 2.3022
Epoch [4/5], Step [290/500], Loss: 2.3020
Epoch [4/5], Step [300/500], Loss: 2.3008
Epoch [4/5], Step [310/500], Loss: 2.3031
Epoch [4/5], Step [320/500], Loss: 2.3036
Epoch [4/5], Step [330/500], Loss: 2.3029
Epoch [4/5], Step [340/500], Loss: 2.3035
Epoch [4/5], Step [350/500], Loss: 2.3025
Epoch [4/5], Step [360/500], Loss: 2.3029
Epoch [4/5], Step [370/500], Loss: 2.3036
Epoch [4/5], Step [380/500], Loss: 2.3034
Epoch [4/5], Step [390/500], Loss: 2.3019
Epoch [4/5], Step [400/500], Loss: 2.3027
Epoch [4/5], Step [410/500], Loss: 2.3030
Epoch [4/5], Step [420/500], Loss: 2.3029
Epoch [4/5], Step [430/500], Loss: 2.3040
Epoch [4/5], Step [440/500], Loss: 2.3028
Epoch [4/5], Step [450/500], Loss: 2.3028
Epoch [4/5], Step [460/500], Loss: 2.3029
Epoch [4/5], Step [470/500], Loss: 2.3026
Epoch [4/5], Step [480/500], Loss: 2.3028
Epoch [4/5], Step [490/500], Loss: 2.3027
Epoch [4/5], Step [500/500], Loss: 2.3024
Epoch [5/5], Step [10/500], Loss: 2.3026
Epoch [5/5], Step [20/500], Loss: 2.3024
Epoch [5/5], Step [30/500], Loss: 2.3032
Epoch [5/5], Step [40/500], Loss: 2.3025
Epoch [5/5], Step [50/500], Loss: 2.3026
Epoch [5/5], Step [60/500], Loss: 2.3022
Epoch [5/5], Step [70/500], Loss: 2.3033
Epoch [5/5], Step [80/500], Loss: 2.3029
Epoch [5/5], Step [90/500], Loss: 2.3022
Epoch [5/5], Step [100/500], Loss: 2.3021
Epoch [5/5], Step [110/500], Loss: 2.3033
Epoch [5/5], Step [120/500], Loss: 2.3003
Epoch [5/5], Step [130/500], Loss: 2.3007
Epoch [5/5], Step [140/500], Loss: 2.3027
Epoch [5/5], Step [150/500], Loss: 2.3016
Epoch [5/5], Step [160/500], Loss: 2.3010
